"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","88","Retrieve a post by ID","","Wed Mar 19 16:09:33 UTC 2025","passed","Wed Mar 19 16:09:34 UTC 2025","","","",""
"","573","Create a standard customer for the Business Portal","","Wed Mar 05 14:28:20 UTC 2025","passed","Wed Mar 05 14:28:20 UTC 2025","","","",""
"","336","Send SOAP request to delete a notification","","Wed Mar 05 14:28:20 UTC 2025","passed","Wed Mar 05 14:28:21 UTC 2025","","","",""
